id,order_id,menu_id,quantity,price,table_id
1,1,7,4,240.0,3
2,2,31,3,210.0,7
3,3,58,3,120.0,15
4,4,31,5,350.0,14
5,5,14,4,280.0,16
6,6,19,5,350.0,7
7,7,61,5,175.0,10
8,8,4,2,160.0,1
9,9,26,4,340.0,9
10,10,31,2,140.0,6
11,11,5,2,80.0,3
12,12,20,2,150.0,18
13,13,8,2,130.0,12
14,14,32,2,140.0,14
15,15,17,4,340.0,15
16,16,39,1,75.0,1
17,17,59,5,225.0,10
18,18,20,1,75.0,7
19,19,58,2,80.0,10
20,20,65,2,70.0,9
21,21,22,1,70.0,9
22,22,57,5,50.0,3
23,23,59,1,45.0,8
24,24,8,5,325.0,1
25,25,21,4,320.0,10
26,26,62,5,150.0,4
27,27,5,3,120.0,6
28,28,65,3,105.0,16
29,29,8,3,195.0,5
30,30,11,4,280.0,13
31,31,7,4,240.0,4
32,32,46,3,30.0,16
33,33,19,5,350.0,3
34,34,62,5,150.0,19
35,35,31,2,140.0,9
36,36,5,1,40.0,12
37,37,61,4,140.0,11
38,38,7,4,240.0,1
39,39,26,5,425.0,5
40,40,65,1,35.0,5
41,41,36,5,350.0,3
42,42,27,3,300.0,14
43,43,7,1,60.0,1
44,44,20,4,300.0,9
45,45,61,2,70.0,13
46,46,19,1,70.0,8
47,47,32,4,280.0,4
48,48,17,1,85.0,20
49,49,57,2,20.0,10
50,50,20,3,225.0,11
51,51,22,1,70.0,19
52,52,62,2,60.0,5
53,53,20,5,375.0,14
54,54,65,2,70.0,10
55,55,32,3,210.0,17
56,56,26,5,425.0,10
57,57,65,1,35.0,5
58,58,21,5,400.0,14
59,59,17,5,425.0,5
60,60,31,1,70.0,13
61,61,19,3,210.0,6
62,62,17,2,170.0,5
63,63,21,3,240.0,2
64,64,36,4,280.0,12
65,65,5,5,200.0,20
66,66,11,4,280.0,20
67,67,26,3,255.0,4
68,68,64,2,70.0,12
69,69,5,1,40.0,1
70,70,17,4,340.0,10
71,71,22,2,140.0,15
72,72,13,4,200.0,5
73,73,22,5,350.0,12
74,74,18,3,240.0,3
75,75,4,5,400.0,2
76,76,7,5,300.0,15
77,77,8,4,260.0,18
78,78,17,3,255.0,8
79,79,18,1,80.0,3
80,80,26,1,85.0,1
81,81,13,3,150.0,1
82,82,11,1,70.0,4
83,83,46,4,40.0,16
84,84,7,4,240.0,8
85,85,20,4,300.0,8
86,86,27,4,400.0,12
87,87,22,1,70.0,8
88,88,39,3,225.0,4
