id,table_id,employee_id,order_date,total_price,status,reservation_id
1,3,14,2024-07-26 21:29:28,240.0,Paid,1
2,7,11,2024-07-05 08:24:44,210.0,Paid,2
3,15,12,2024-01-13 15:05:07,120.0,Paid,3
4,14,15,2024-08-19 18:18:32,350.0,Paid,4
5,16,14,2024-02-13 09:34:08,280.0,Paid,5
6,7,14,2024-08-02 08:13:13,350.0,Paid,6
7,10,14,2024-05-06 16:00:43,175.0,Paid,7
8,1,11,2024-06-19 05:20:59,160.0,Paid,8
9,9,14,2024-05-12 18:08:43,340.0,Paid,9
10,6,12,2024-10-22 22:24:45,140.0,Paid,10
11,3,11,2024-06-03 14:31:20,80.0,Paid,11
12,18,12,2024-01-04 13:46:48,150.0,Paid,12
13,12,14,2024-07-03 21:50:25,130.0,Paid,13
14,14,14,2024-03-31 10:48:19,140.0,Paid,14
15,15,13,2024-10-21 00:47:24,340.0,Paid,15
16,1,13,2024-06-26 11:29:00,75.0,Paid,16
17,10,13,2024-05-27 01:59:43,225.0,Paid,17
18,7,12,2024-10-05 08:55:07,75.0,Paid,18
19,10,15,2024-04-14 11:51:51,80.0,Paid,19
20,9,13,2024-12-08 01:54:42,70.0,Paid,20
21,9,11,2024-04-16 22:09:25,70.0,Paid,21
22,3,13,2024-12-17 19:54:49,50.0,Paid,22
23,8,15,2024-05-23 00:14:47,45.0,Paid,23
24,1,13,2024-01-22 15:29:53,325.0,Paid,24
25,10,11,2024-03-03 18:34:11,320.0,Paid,25
26,4,11,2024-01-03 16:35:58,150.0,Paid,26
27,6,12,2024-07-06 10:04:32,120.0,Paid,27
28,16,14,2024-03-08 10:43:00,105.0,Paid,28
29,5,15,2024-05-02 18:44:28,195.0,Paid,29
30,13,15,2024-09-06 12:42:00,280.0,Paid,30
31,4,12,2024-04-17 15:45:25,240.0,Paid,31
32,16,11,2024-11-23 14:58:12,30.0,Paid,32
33,3,12,2024-11-04 19:09:54,350.0,Paid,33
34,19,13,2024-02-16 20:58:05,150.0,Paid,34
35,9,11,2024-02-29 09:57:19,140.0,Paid,35
36,12,12,2024-12-08 06:06:23,40.0,Paid,36
37,11,14,2024-12-10 13:19:08,140.0,Paid,37
38,1,11,2024-11-11 21:35:58,240.0,Paid,38
39,5,15,2024-01-18 13:48:03,425.0,Paid,39
40,5,11,2024-12-21 12:53:08,35.0,Paid,40
41,3,12,2024-10-05 11:56:15,350.0,Paid,41
42,14,12,2024-08-17 14:39:05,300.0,Paid,42
43,1,13,2024-04-19 17:33:00,60.0,Paid,43
44,9,13,2024-09-21 07:05:08,300.0,Paid,44
45,13,12,2024-11-01 20:01:24,70.0,Paid,45
46,8,14,2024-02-02 07:46:24,70.0,Paid,46
47,4,14,2024-08-06 15:50:48,280.0,Paid,47
48,20,15,2024-04-05 22:12:30,85.0,Paid,48
49,10,15,2024-12-18 12:57:03,20.0,Paid,49
50,11,12,2024-04-08 19:41:00,225.0,Paid,50
51,19,13,2024-03-16 18:20:16,70.0,Paid,51
52,5,12,2023-12-25 23:26:59,60.0,Paid,52
53,14,11,2024-06-01 16:57:25,375.0,Paid,53
54,10,13,2024-11-20 07:38:49,70.0,Paid,54
55,17,13,2024-02-01 20:42:59,210.0,Paid,55
56,10,12,2024-07-10 06:23:17,425.0,Paid,56
57,5,11,2024-03-19 06:55:43,35.0,Paid,57
58,14,14,2024-12-07 14:44:28,400.0,Paid,58
59,5,14,2024-05-01 05:56:53,425.0,Paid,59
60,13,15,2024-09-09 04:35:40,70.0,Paid,60
61,6,12,2024-10-14 01:31:44,210.0,Paid,61
62,5,13,2024-08-23 03:05:16,170.0,Paid,62
63,2,14,2024-10-19 22:01:31,240.0,Paid,63
64,12,15,2024-11-21 21:42:29,280.0,Paid,64
65,20,13,2024-10-08 07:08:16,200.0,Paid,65
66,20,12,2024-11-13 09:26:22,280.0,Paid,66
67,4,12,2024-08-06 04:44:48,255.0,Paid,67
68,12,12,2024-09-04 16:58:24,70.0,Paid,68
69,1,14,2024-02-15 09:16:58,40.0,Paid,69
70,10,15,2024-05-13 21:21:05,340.0,Paid,70
71,15,13,2024-12-22 11:02:17,140.0,Paid,71
72,5,14,2024-01-23 19:26:19,200.0,Paid,72
73,12,14,2024-09-06 12:51:52,350.0,Paid,73
74,3,15,2024-01-06 03:42:44,240.0,Paid,74
75,2,13,2024-03-27 05:39:42,400.0,Paid,75
76,15,14,2024-09-14 15:26:56,300.0,Paid,76
77,18,14,2024-07-10 05:51:37,260.0,Paid,77
78,8,14,2024-02-29 00:14:00,255.0,Paid,78
79,3,14,2024-11-14 21:34:24,80.0,Paid,79
80,1,12,2024-12-22 11:45:59,85.0,Paid,80
81,1,12,2024-05-21 13:58:40,150.0,Paid,81
82,4,14,2024-10-13 15:46:37,70.0,Paid,82
83,16,14,2024-05-20 10:44:30,40.0,Paid,83
84,8,13,2024-11-25 23:20:45,240.0,Paid,84
85,8,12,2024-07-08 04:30:52,300.0,Paid,85
86,12,14,2024-10-16 02:22:08,400.0,Paid,86
87,8,14,2024-11-11 15:23:09,70.0,Paid,87
88,4,11,2024-04-15 03:33:17,225.0,Paid,88
89,4,13,2024-11-26 22:00:12,350.0,Paid,89
90,2,13,2024-11-15 02:36:54,120.0,Paid,90
91,3,15,2024-01-08 09:10:06,140.0,Paid,91
92,2,12,2024-08-20 03:18:51,350.0,Paid,92
93,1,15,2024-11-05 05:49:14,85.0,Paid,93
