id,order_id,payment_date,method,amount
1,1,2024-07-26 21:29:28,Card,240.0
2,2,2024-07-05 08:24:44,Cash,210.0
3,3,2024-01-13 15:05:07,Cash,120.0
4,4,2024-08-19 18:18:32,Card,350.0
5,5,2024-02-13 09:34:08,Card,280.0
6,6,2024-08-02 08:13:13,Transfer,350.0
7,7,2024-05-06 16:00:43,Card,175.0
8,8,2024-06-19 05:20:59,Card,160.0
9,9,2024-05-12 18:08:43,Transfer,340.0
10,10,2024-10-22 22:24:45,Transfer,140.0
11,11,2024-06-03 14:31:20,Card,80.0
12,12,2024-01-04 13:46:48,Transfer,150.0
13,13,2024-07-03 21:50:25,Transfer,130.0
14,14,2024-03-31 10:48:19,Card,140.0
15,15,2024-10-21 00:47:24,Card,340.0
16,16,2024-06-26 11:29:00,Transfer,75.0
17,17,2024-05-27 01:59:43,Cash,225.0
18,18,2024-10-05 08:55:07,Card,75.0
19,19,2024-04-14 11:51:51,Transfer,80.0
20,20,2024-12-08 01:54:42,Card,70.0
21,21,2024-04-16 22:09:25,Transfer,70.0
22,22,2024-12-17 19:54:49,Cash,50.0
23,23,2024-05-23 00:14:47,Cash,45.0
24,24,2024-01-22 15:29:53,Transfer,325.0
25,25,2024-03-03 18:34:11,Cash,320.0
26,26,2024-01-03 16:35:58,Transfer,150.0
27,27,2024-07-06 10:04:32,Transfer,120.0
28,28,2024-03-08 10:43:00,Transfer,105.0
29,29,2024-05-02 18:44:28,Cash,195.0
30,30,2024-09-06 12:42:00,Transfer,280.0
31,31,2024-04-17 15:45:25,Transfer,240.0
32,32,2024-11-23 14:58:12,Transfer,30.0
33,33,2024-11-04 19:09:54,Transfer,350.0
34,34,2024-02-16 20:58:05,Cash,150.0
35,35,2024-02-29 09:57:19,Transfer,140.0
36,36,2024-12-08 06:06:23,Cash,40.0
37,37,2024-12-10 13:19:08,Card,140.0
38,38,2024-11-11 21:35:58,Card,240.0
39,39,2024-01-18 13:48:03,Transfer,425.0
40,40,2024-12-21 12:53:08,Transfer,35.0
41,41,2024-10-05 11:56:15,Cash,350.0
42,42,2024-08-17 14:39:05,Transfer,300.0
43,43,2024-04-19 17:33:00,Cash,60.0
44,44,2024-09-21 07:05:08,Cash,300.0
45,45,2024-11-01 20:01:24,Card,70.0
