transaction_id,ingredient_id,quantity,transaction_type,date,reference
1,23,10.0,Purchase,2023-04-06,2024-05-28
2,51,34.0,Adjustment,2023-08-10,2023-12-23
3,50,4.0,Consumption,2023-12-17,2023-03-09
4,36,19.0,Adjustment,2023-06-25,2023-05-05
5,38,79.0,Adjustment,2023-03-13,2023-01-17
6,4,11.0,Adjustment,2023-11-12,2023-06-02
7,33,41.0,Adjustment,2024-06-29,2024-07-22
8,7,63.0,Adjustment,2023-10-30,2023-08-15
9,5,2.0,Consumption,2023-05-17,2024-04-17
10,4,67.0,Adjustment,2024-04-05,2024-05-28
11,37,15.0,Consumption,2023-01-17,2023-06-08
12,44,3.0,Consumption,2023-12-21,2023-11-16
13,40,29.0,Adjustment,2023-05-15,2024-05-30
14,52,9.0,Purchase,2024-01-15,2023-09-17
15,30,95.0,Adjustment,2023-01-11,2024-02-21
16,61,18.0,Consumption,2023-01-07,2024-06-13
17,40,10.0,Adjustment,2024-01-15,2023-02-01
18,6,92.0,Adjustment,2024-05-31,2023-08-13
19,52,9.0,Consumption,2023-09-10,2024-08-10
20,16,38.0,Adjustment,2024-03-10,2023-07-21
21,27,7.0,Consumption,2023-11-18,2024-07-21
22,22,6.0,Purchase,2023-07-15,2023-07-30
23,25,2.0,Purchase,2023-01-22,2023-07-03
24,34,5.0,Consumption,2023-07-11,2023-07-27
25,2,18.0,Purchase,2023-09-16,2024-04-21
26,33,80.0,Adjustment,2024-09-07,2023-04-05
27,1,17.0,Adjustment,2023-09-03,2024-02-28
28,28,7.0,Consumption,2024-10-02,2024-07-25
29,11,3.0,Purchase,2024-06-26,2023-11-28
30,4,60.0,Adjustment,2023-08-19,2023-01-27
31,51,18.0,Consumption,2023-05-10,2023-05-13
32,49,52.0,Adjustment,2024-03-04,2024-04-29
33,20,98.0,Adjustment,2023-12-09,2023-01-01
34,34,19.0,Consumption,2023-11-25,2024-05-30
35,57,18.0,Purchase,2024-06-20,2024-03-24
36,60,9.0,Consumption,2023-03-24,2024-06-02
37,16,14.0,Purchase,2023-11-05,2024-06-28
38,15,2.0,Purchase,2024-01-10,2024-02-28
39,33,54.0,Adjustment,2023-08-21,2024-05-25
40,2,5.0,Consumption,2024-05-27,2023-11-13
41,55,2.0,Purchase,2023-09-22,2024-09-15
42,18,17.0,Purchase,2023-04-05,2023-01-05
43,57,6.0,Consumption,2023-08-21,2024-03-07
44,6,63.0,Adjustment,2024-08-29,2024-05-07
45,5,83.0,Adjustment,2023-04-07,2023-01-28
46,32,19.0,Purchase,2024-01-25,2024-06-01
47,55,59.0,Adjustment,2024-05-01,2023-04-13
48,24,8.0,Purchase,2024-04-21,2023-06-20
49,9,3.0,Consumption,2023-10-09,2023-08-07
50,21,93.0,Adjustment,2024-03-18,2023-09-25
51,1,15.0,Purchase,2024-05-25,2024-01-01
52,11,14.0,Purchase,2024-02-19,2023-05-14
53,52,64.0,Adjustment,2024-05-16,2024-08-10
54,37,17.0,Purchase,2023-06-15,2024-08-11
55,37,7.0,Consumption,2023-07-06,2024-01-24
56,51,7.0,Consumption,2023-01-31,2023-03-22
57,33,18.0,Consumption,2023-06-01,2023-08-16
58,9,17.0,Consumption,2023-12-24,2023-07-17
59,7,1.0,Purchase,2023-05-18,2024-04-02
60,21,2.0,Consumption,2023-04-02,2024-08-07
61,17,8.0,Purchase,2023-08-17,2023-12-07
62,57,13.0,Adjustment,2023-12-03,2024-04-25
63,26,88.0,Adjustment,2023-03-14,2023-11-18
64,44,8.0,Purchase,2023-09-29,2024-02-26
65,24,99.0,Adjustment,2023-07-10,2024-08-12
66,24,2.0,Consumption,2023-07-04,2023-07-08
67,38,18.0,Purchase,2023-02-15,2024-03-30
68,55,66.0,Adjustment,2023-12-27,2023-03-14
69,42,2.0,Purchase,2023-12-24,2024-01-11
70,2,6.0,Purchase,2024-08-06,2023-12-12
71,44,69.0,Adjustment,2024-10-20,2023-08-22
72,33,8.0,Consumption,2024-07-28,2024-06-04
73,57,11.0,Purchase,2023-04-09,2024-08-01
74,1,1.0,Purchase,2023-05-27,2023-09-21
75,37,69.0,Adjustment,2023-12-04,2023-04-10
76,56,7.0,Purchase,2023-01-01,2023-05-09
77,53,1.0,Purchase,2024-07-03,2023-06-19
78,59,12.0,Purchase,2023-07-22,2024-04-12
79,61,38.0,Adjustment,2024-03-07,2024-10-31
80,1,11.0,Purchase,2023-03-11,2023-02-17
81,34,17.0,Adjustment,2023-06-03,2023-04-20
82,18,6.0,Consumption,2023-09-16,2023-12-04
83,34,99.0,Adjustment,2023-07-19,2023-01-20
84,40,17.0,Adjustment,2024-02-15,2023-05-31
85,57,20.0,Adjustment,2023-10-23,2023-01-17
86,12,14.0,Purchase,2024-03-25,2024-03-09
87,15,92.0,Adjustment,2024-05-28,2024-10-18
88,40,49.0,Adjustment,2023-09-19,2023-07-31
89,23,7.0,Consumption,2023-03-10,2023-02-27
90,5,19.0,Consumption,2023-11-17,2024-02-04
91,44,20.0,Consumption,2023-12-21,2024-06-28
92,30,20.0,Consumption,2024-08-25,2024-01-17
93,51,88.0,Adjustment,2024-09-22,2023-07-24
94,60,63.0,Adjustment,2024-08-12,2023-06-05
95,12,18.0,Consumption,2024-03-18,2024-03-05
96,22,6.0,Consumption,2023-11-29,2023-09-17
97,4,20.0,Purchase,2023-01-28,2024-02-11
98,38,5.0,Purchase,2023-06-10,2023-03-09
99,36,5.0,Consumption,2023-11-05,2023-03-27
100,30,2.0,Consumption,2023-07-27,2023-03-20
101,17,11.0,Consumption,2023-09-24,2024-05-08
102,14,11.0,Purchase,2024-08-26,2023-03-16
103,27,4.0,Purchase,2024-01-18,2024-04-16
104,44,20.0,Consumption,2024-06-25,2024-09-30
105,55,18.0,Adjustment,2024-07-22,2023-12-22
106,14,76.0,Adjustment,2023-09-13,2023-03-22
107,28,46.0,Adjustment,2023-04-11,2024-04-08
108,59,1.0,Consumption,2024-03-06,2024-09-02
109,8,7.0,Consumption,2024-01-20,2023-10-28
110,30,2.0,Consumption,2023-10-11,2024-06-18
111,61,1.0,Purchase,2024-08-07,2023-10-14
112,61,15.0,Purchase,2024-10-08,2023-03-19
113,34,27.0,Adjustment,2023-12-05,2024-03-29
114,61,17.0,Consumption,2023-12-21,2024-09-30
115,11,20.0,Purchase,2024-06-24,2023-06-11
116,59,86.0,Adjustment,2024-05-21,2023-04-11
117,58,66.0,Adjustment,2023-05-27,2024-05-03
118,39,13.0,Consumption,2023-03-26,2023-03-16
119,23,14.0,Consumption,2023-03-21,2024-05-01
120,22,8.0,Purchase,2024-06-12,2023-04-23
121,8,43.0,Adjustment,2023-05-27,2023-02-02
122,46,19.0,Purchase,2024-05-06,2023-01-21
123,60,13.0,Consumption,2023-04-12,2023-02-05
124,18,87.0,Adjustment,2023-01-03,2023-05-15
125,18,18.0,Purchase,2023-05-20,2023-01-10
126,58,14.0,Purchase,2024-04-25,2023-05-15
127,42,6.0,Purchase,2023-02-10,2024-05-06
128,14,9.0,Purchase,2023-10-21,2024-05-19
129,8,15.0,Consumption,2023-08-13,2023-01-11
130,25,15.0,Consumption,2024-02-13,2023-02-09
131,52,86.0,Adjustment,2024-09-25,2024-07-29
132,5,11.0,Consumption,2023-04-04,2023-06-22
133,29,54.0,Adjustment,2024-09-22,2023-10-27
134,11,8.0,Consumption,2023-08-24,2023-10-21
135,30,7.0,Purchase,2024-03-25,2023-10-10
136,36,3.0,Consumption,2024-05-12,2023-08-13
137,27,20.0,Adjustment,2024-05-09,2023-04-16
138,34,81.0,Adjustment,2024-02-29,2024-08-23
139,26,61.0,Adjustment,2023-05-10,2023-04-26
140,51,65.0,Adjustment,2024-02-06,2024-04-02
141,44,9.0,Consumption,2023-06-10,2024-06-02
142,20,12.0,Purchase,2024-03-05,2023-01-16
143,56,46.0,Adjustment,2023-09-10,2023-11-18
144,37,55.0,Adjustment,2024-04-25,2024-10-01
145,12,7.0,Purchase,2023-11-16,2023-02-22
146,56,8.0,Consumption,2024-07-06,2023-04-19
147,28,2.0,Purchase,2024-07-23,2024-07-14
148,55,45.0,Adjustment,2024-06-04,2023-01-02
149,38,16.0,Consumption,2023-09-17,2023-08-05
150,33,4.0,Purchase,2024-10-21,2023-07-10
151,4,79.0,Adjustment,2023-10-30,2024-10-26
152,35,6.0,Consumption,2023-05-21,2023-07-23
153,56,98.0,Adjustment,2023-02-12,2024-07-15
154,34,12.0,Consumption,2023-07-03,2023-09-04
155,11,6.0,Consumption,2024-03-05,2023-05-11
156,14,93.0,Adjustment,2024-06-20,2023-12-06
157,27,20.0,Purchase,2024-05-30,2023-12-12
158,57,17.0,Consumption,2024-10-29,2023-03-30
159,22,15.0,Adjustment,2023-12-06,2024-08-07
160,1,89.0,Adjustment,2024-06-28,2024-07-17
161,60,3.0,Consumption,2023-01-08,2024-08-22
162,40,7.0,Consumption,2023-01-03,2023-12-24
163,30,15.0,Consumption,2024-05-01,2024-07-09
164,61,12.0,Purchase,2024-09-21,2023-10-27
165,37,11.0,Purchase,2024-01-04,2023-02-15
166,17,10.0,Adjustment,2023-11-16,2024-07-31
167,1,7.0,Purchase,2024-07-25,2023-06-26
168,35,3.0,Purchase,2023-08-26,2024-10-08
169,49,8.0,Purchase,2024-01-27,2023-05-15
170,57,9.0,Purchase,2023-04-08,2023-09-13
171,29,9.0,Consumption,2024-09-16,2024-02-24
